"","ID","Dia","Mes","Any","Lloc","Grau_Perill","Tipus_Desencadenant","Origen","Mida","Membres","Arrossegats","Ferits","Morts","Activitat","lat","long"
"50",358,"14","02","2010","Ivón de Coronas",-1,"Desconegut","Desconegut",NA,2,2,2,0,"Desconegut",42.62894,0.641011
"51",263,"10","02","2010","Midi de Bigorre",3,"Desconegut","Desconegut",NA,2,1,0,1,"Taula fora pista",42.932459,0.139057
"52",293,"10","02","2010","Coma de Ransol",3,"Desconegut","Desconegut",NA,1,1,0,1,"Esquí de muntanya",42.610516,1.624271
"53",468,"09","02","2010","Ransol",3,"Placa (PL)","Accidental",NA,1,1,0,1,"Esquí de muntanya",42.6158649718889,1.62797620538076
"54",236,"07","02","2010","Peguera",2,"Placa (PL)","Desconegut",NA,4,2,0,0,"Esquí de muntanya",42.144332,1.762617
"55",212,"03","02","2010","Cavallers",2,"Desconegut","Natural",NA,2,4,1,2,"Alpinisme",42.583891,0.845495
"56",351,"02","02","2010","Formigal",-1,"Desconegut","Accidental",NA,1,1,0,0,"Esquí fora pista",42.79314,-0.433653
"57",366,"02","02","2010","Portalet",-1,"Desconegut","Desconegut",NA,3,2,0,1,"Esquí de muntanya",42.806446,-0.416842
"58",316,"31","01","2010","Alta Garona",4,"Desconegut","Desconegut",NA,NA,1,0,1,"Esquí fora pista",42.909499,0.769369
"59",352,"31","01","2010","Candanchú",-1,"Desconegut","Desconegut",NA,3,1,0,0,"Esquí de muntanya",42.781235,-0.548001
"60",313,"16","01","2010","Astún",4,"Desconegut","Desconegut",NA,1,1,0,0,"Esquí fora pista",42.802693,-0.507602
"61",321,"16","01","2010","Ariege",4,"Desconegut","Accidental",NA,4,4,2,0,"Esquí de muntanya",42.840854,1.743505
"62",259,"15","01","2010","Masella",3,"Desconegut","Accidental",NA,3,3,1,0,"Taula fora pista",42.322052,1.894284
"63",362,"09","01","2010","La Collarada",-1,"Desconegut","Desconegut",NA,3,3,0,3,"Esquí de muntanya",42.713963,-0.47194
"64",292,"06","01","2010","Canal de l’Ordiguer",3,"Placa (PL)","Desconegut",NA,1,1,0,0,"Alpinisme",42.285374,1.653498
"65",363,"06","01","2010","Bastiments",-1,"Placa (PL)","Desconegut",NA,NA,-1,-1,-1,"Altres",42.425848,2.233647
"66",325,"01","12","2009","Astún",4,"Desconegut","Desconegut",NA,3,3,2,0,"Esquí de muntanya",42.804316,-0.498056
"67",465,"19","03","2011","Serra Mitjana",4,"Placa (PL)","Accidental",2.5,3,1,0,0,"Moto de neu",42.4688047414407,1.61542315117149
"68",253,"13","03","2011","Coma Oriola (Masella)",3,"Desconegut","Accidental",NA,4,1,1,0,"Esquí fora pista",42.32725,0.189208
"69",305,"13","03","2011","Vall de Moró",4,"Placa (PL)","Accidental",NA,2,1,0,0,"Esquí fora pista",42.48131,0.895953
"70",266,"10","03","2011","Estany Flamisella",3,"Placa (PL)","Accidental",NA,2,1,1,0,"Esquí de muntanya",42.705516,1.255896
"71",265,"05","03","2011","Porté-Puymorens",3,"Desconegut","Desconegut",NA,3,1,1,0,"Esquí fora pista",42.54716,1.79191
"72",310,"04","03","2011","Cara N Baqueira",4,"Desconegut","Desconegut",NA,1,1,1,0,"Taula fora pista",42.696702,0.97134
"73",466,"24","02","2011","Sorteny",4,"Placa (PL)","Accidental",1,3,2,0,0,"Esquí de muntanya",42.6090113408715,1.57285503966542
"74",368,"21","02","2011","Barranco de San Juan",-1,"Desconegut","Desconegut",NA,3,3,1,1,"Excursionisme",37.13477,-3.38119
"75",327,"20","02","2011","Col de Peyresourde",4,"Desconegut","Desconegut",NA,NA,2,0,2,"Raquetes",42.784431,0.458842
"76",353,"23","01","2011","Normal de sabocos",-1,"Desconegut","Desconegut",NA,2,2,0,1,"Alpinisme",42.679241,-0.251699
"77",467,"26","12","2010","Montmalús",2,"Desconegut (null)","Accidental",NA,2,2,1,0,"Esquí de muntanya",42.507729869369,1.69220705959241
"78",345,"04","12","2010","Cara este Monte Anboto",-1,"Desconegut","Desconegut",NA,3,3,3,0,"Alpinisme",43.08888,-2.596045
"79",355,"06","04","2012","Vallée du Lys",-1,"Desconegut","Natural",NA,5,2,1,1,"Excursionisme",42.741929,0.560622
"80",234,"28","02","2012","Petrechema",2,"Placa (PL)","Desconegut",NA,1,1,0,1,"Excursionisme",42.901912,-0.733785
"81",348,"18","02","2012","Tuc d'Arres",-1,"Placa (PL)","Accidental",NA,6,2,0,0,"Esquí de muntanya",42.749043,0.653595
"82",349,"18","02","2012","La Mongie",-1,"Placa (PL)","Accidental",NA,1,1,0,1,"Esquí fora pista",42.904789,0.178208
"83",251,"08","02","2012","Montcorbisson",3,"Placa (PL)","Accidental",NA,2,2,0,1,"Esquí de muntanya",42.71118,0.764544
"84",359,"19","05","2013","Bretxa Pic d'Alba",-1,"Desconegut","Desconegut",NA,3,1,0,0,"Esquí de muntanya",42.655759,0.622804
"85",215,"28","04","2013","Cara nord del Cadí",2,"Desconegut","Desconegut",NA,2,2,0,2,"Alpinisme",42.284558,1.657214
"86",343,"07","04","2013","Moncayo",-1,"Desconegut","Desconegut",NA,6,6,1,0,"Excursionisme",41.785899,-1.833247
"87",346,"25","03","2013","Formigal",-1,"Placa (PL)","Accidental",NA,3,3,0,1,"Esquí de pista",42.784851,-0.419372
